sujet_id,a_segmentation,snr_cerveau,entropie_cerveau,gradient_cerveau,cv_bruit_cerveau,snr_sain,entropie_sain,gradient_sain,cv_bruit_sain,snr_tumeur,entropie_tumeur,gradient_tumeur,cv_bruit_tumeur,volume_tumeur_voxels,volume_cerveau_voxels,volume_fond_voxels,quality_label,quality_rating
sub-10189,False,9.863605410757069,6.6625970751670245,1342.5400175459981,1.4374025461244768,9.863605410757069,6.6625970751670245,1342.5400175459981,1.4374025461244768,,,,,0,2613136,972338,include,1
sub-10206,False,11.588603717721476,6.001918418439712,1047.732420667889,1.2511995417474167,11.588603717721476,6.001918418439712,1047.732420667889,1.2511995417474167,,,,,0,2485229,1044506,include,1
sub-10227,False,10.860805892344636,6.435581416711576,1342.6107339428213,1.222180734910193,10.860805892344636,6.435581416711576,1342.6107339428213,1.222180734910193,,,,,0,2174982,1385176,include,1
sub-10274,False,12.243664873208104,6.451300517291738,1243.6517778654656,1.1793384913639304,12.243664873208104,6.451300517291738,1243.6517778654656,1.1793384913639304,,,,,0,2795443,1318646,include,1
sub-10329,False,12.31777551152058,6.46669947680103,1203.0992869719892,1.1618320232762782,12.31777551152058,6.46669947680103,1203.0992869719892,1.1618320232762782,,,,,0,2580021,1600995,include,1
sub-10340,False,10.93351955404396,6.37731738837747,1313.5080260341504,1.264622409961014,10.93351955404396,6.37731738837747,1313.5080260341504,1.264622409961014,,,,,0,3285875,1314681,include,1
sub-10347,False,11.936432315877129,6.608295351045237,1432.9581201389763,1.1574222647741055,11.936432315877129,6.608295351045237,1432.9581201389763,1.1574222647741055,,,,,0,2165052,1466453,include,1
sub-10361,False,8.211545971381662,6.810466539624732,977.0150326934299,1.1752606397993495,8.211545971381662,6.810466539624732,977.0150326934299,1.1752606397993495,,,,,0,2136239,658322,include,1
sub-10517,False,10.154360747915744,6.054731389482132,1332.3333990507283,1.3223851352240668,10.154360747915744,6.054731389482132,1332.3333990507283,1.3223851352240668,,,,,0,2357314,1187143,include,1
sub-10523,False,14.642453612750133,6.384225471289398,1282.6000982479386,1.2663300035944975,14.642453612750133,6.384225471289398,1282.6000982479386,1.2663300035944975,,,,,0,2837660,1196697,include,1
sub-10672,False,10.965011398211287,6.176210523845793,1246.9397016448827,1.472819267249479,10.965011398211287,6.176210523845793,1246.9397016448827,1.472819267249479,,,,,0,2161330,1087820,include,1
sub-10686,False,11.202289076206231,6.417004308108312,1113.008295275079,1.121828232150232,11.202289076206231,6.417004308108312,1113.008295275079,1.121828232150232,,,,,0,2507151,966668,include,1
sub-10692,False,12.494576950161267,6.359666691723376,1579.159076796317,1.428335939334214,12.494576950161267,6.359666691723376,1579.159076796317,1.428335939334214,,,,,0,2017685,1500542,include,1
sub-10697,False,13.36221306097523,6.3691222299741845,1341.5211834596903,1.3051387362261362,13.36221306097523,6.3691222299741845,1341.5211834596903,1.3051387362261362,,,,,0,2498077,1149518,include,1
sub-10788,False,9.305737152607882,6.130436344113944,949.8222153735106,1.112437567609365,9.305737152607882,6.130436344113944,949.8222153735106,1.112437567609365,,,,,0,2522712,749009,include,1
sub-10871,False,13.95054855646065,6.528106774068583,1403.4267925489094,1.3210645380253354,13.95054855646065,6.528106774068583,1403.4267925489094,1.3210645380253354,,,,,0,2486367,1526460,include,1
sub-10893,False,11.166889323623263,6.468964347136946,1318.3854686419531,1.3436408017268058,11.166889323623263,6.468964347136946,1318.3854686419531,1.3436408017268058,,,,,0,2013455,1335178,include,1
sub-10934,False,12.08380002643652,6.578683924660992,1459.9976492392789,1.3478341916503207,12.08380002643652,6.578683924660992,1459.9976492392789,1.3478341916503207,,,,,0,2144292,1289075,include,1
sub-10940,False,12.470645139878993,6.022631199276958,1174.319637189368,1.421124618292191,12.470645139878993,6.022631199276958,1174.319637189368,1.421124618292191,,,,,0,2518597,1199967,include,1
sub-10949,False,13.886511314026087,6.555001263693822,1271.916196751727,1.337949486249227,13.886511314026087,6.555001263693822,1271.916196751727,1.337949486249227,,,,,0,2631236,1150711,include,1
sub-10171,False,11.439445423083031,6.2996132927674,1253.2299143365271,1.219747988356726,11.439445423083031,6.2996132927674,1253.2299143365271,1.219747988356726,,,,,0,2606192,1407522,uncertain,0
sub-10217,False,9.981204565497753,6.27314544947767,1670.9196405800917,1.6444293356908672,9.981204565497753,6.27314544947767,1670.9196405800917,1.6444293356908672,,,,,0,2087543,1254968,uncertain,0
sub-10228,False,9.32095872765423,6.558782271159873,952.7906543647978,1.1448189391981676,9.32095872765423,6.558782271159873,952.7906543647978,1.1448189391981676,,,,,0,2315463,811948,uncertain,0
sub-10249,False,12.061579390048987,6.165038953588755,1365.12532808415,1.4591079776490066,12.061579390048987,6.165038953588755,1365.12532808415,1.4591079776490066,,,,,0,2572129,1133744,uncertain,0
sub-10271,False,10.957744941645457,6.734986431568108,1068.022061455106,1.0706319217776668,10.957744941645457,6.734986431568108,1068.022061455106,1.0706319217776668,,,,,0,2677232,966900,uncertain,0
sub-10273,False,11.932477163732571,6.461924594491016,1573.1541188579356,1.3661934345280777,11.932477163732571,6.461924594491016,1573.1541188579356,1.3661934345280777,,,,,0,2221964,1606489,uncertain,0
sub-10280,False,12.236271711268135,6.469326972436778,1089.1433277396125,1.1591228163694107,12.236271711268135,6.469326972436778,1089.1433277396125,1.1591228163694107,,,,,0,2889311,1148429,uncertain,0
sub-10290,False,10.294343713747764,6.623673325606667,1331.131085731947,1.5099640908116296,10.294343713747764,6.623673325606667,1331.131085731947,1.5099640908116296,,,,,0,2205678,1114548,uncertain,0
sub-10292,False,12.792017133709988,5.876338151075162,1376.0649287967146,1.2437198647163987,12.792017133709988,5.876338151075162,1376.0649287967146,1.2437198647163987,,,,,0,2831206,1257541,uncertain,0
sub-10304,False,13.626886420738177,6.469478246289241,1425.9223727502324,1.1706654684594318,13.626886420738177,6.469478246289241,1425.9223727502324,1.1706654684594318,,,,,0,2304765,1699810,uncertain,0
sub-10321,False,13.701459736932538,6.702483339393027,1175.5682702241234,1.2080683889356736,13.701459736932538,6.702483339393027,1175.5682702241234,1.2080683889356736,,,,,0,2720214,1046298,uncertain,0
sub-10325,False,13.192658882610088,5.975971900206325,1583.604103745663,1.1253891397499562,13.192658882610088,5.975971900206325,1583.604103745663,1.1253891397499562,,,,,0,2168145,1930345,uncertain,0
sub-10345,False,11.620607161130282,6.511039422221282,1173.4936930348504,1.4576002618597648,11.620607161130282,6.511039422221282,1173.4936930348504,1.4576002618597648,,,,,0,2711958,1091204,uncertain,0
sub-10356,False,10.826745614072776,6.797519342001064,1406.9084857414057,1.2593461565394155,10.826745614072776,6.797519342001064,1406.9084857414057,1.2593461565394155,,,,,0,2089470,1504615,uncertain,0
sub-10388,False,10.823819269845158,6.448627843728617,1423.311756751428,1.2020798403659314,10.823819269845158,6.448627843728617,1423.311756751428,1.2020798403659314,,,,,0,2087144,1445934,uncertain,0
sub-10159,False,11.85562381401414,6.55006685245411,1282.3428995285694,1.091033564472559,11.85562381401414,6.55006685245411,1282.3428995285694,1.091033564472559,,,,,0,2016860,1474336,exclude,-1
